"1","2","3","4","average","N"
861.1118,861.1157,861.3373,861.0988,861.1659,4
862.0923,861.1157,861.3373,861.0988,861.411025,4
845.1274,845.0727,NA,845.0884,845.096166666667,3
845.1274,845.0727,NA,846.0733,845.424466666667,3
2470.566,2471.2963,NA,2470.3438,2470.73536666667,3
863.4664,863.3796,NA,NA,863.423,2
873.5234,873.457,NA,NA,873.4902,2
877.1057,878.0462,NA,NA,877.57595,2
970.7883,970.6428,NA,NA,970.71555,2
1376.4278,1376.7258,NA,NA,1376.5768,2
1376.9871,1376.7258,NA,NA,1376.85645,2
1646.1188,1645.6837,NA,NA,1645.90125,2
1650.3386,1649.8882,NA,NA,1650.1134,2
1956.887,1956.2793,NA,NA,1956.58315,2
2016.5427,2016.1428,NA,NA,2016.34275,2
2279.5497,2279.1065,NA,NA,2279.3281,2
2291.5171,2291.0809,NA,NA,2291.299,2
2307.5919,2307.1196,NA,NA,2307.35575,2
2497.4501,2498.2166,NA,NA,2497.83335,2
2498.6157,2498.2166,NA,NA,2498.41615,2
2499.1025,2498.2166,NA,NA,2498.65955,2
2635.7739,2635.4184,NA,NA,2635.59615,2
864.4776,NA,NA,NA,864.4776,1
1374.1128,NA,NA,NA,1374.1128,1
1998.5014,NA,NA,NA,1998.5014,1
2000.4746,NA,NA,NA,2000.4746,1
2275.43,NA,NA,NA,2275.43,1
2499.6143,NA,NA,NA,2499.6143,1
2500.2047,NA,NA,NA,2500.2047,1
2575.9081,NA,NA,NA,2575.9081,1
NA,1134.549,NA,1134.5177,1134.53335,2
NA,1286.5686,NA,1286.6044,1286.5865,2
NA,1356.6453,NA,1356.6508,1356.64805,2
NA,1415.7272,NA,1415.6769,1415.70205,2
NA,1429.6199,NA,1429.6422,1429.63105,2
NA,1688.7752,NA,1688.8667,1688.82095,2
NA,1890.0006,NA,1890.0411,1890.02085,2
NA,2061.9086,NA,2061.9933,2061.95095,2
NA,2481.296,NA,2481.5371,2481.41655,2
NA,833.4251,NA,NA,833.4251,1
NA,841.0667,NA,NA,841.0667,1
NA,847.0646,NA,NA,847.0646,1
NA,1206.5583,NA,NA,1206.5583,1
NA,1498.7133,NA,NA,1498.7133,1
NA,1588.8122,NA,NA,1588.8122,1
NA,1687.7142,NA,NA,1687.7142,1
NA,1773.7919,NA,NA,1773.7919,1
NA,2184.998,NA,NA,2184.998,1
NA,2185.9011,NA,NA,2185.9011,1
NA,2336.2376,NA,NA,2336.2376,1
NA,2469.1245,NA,NA,2469.1245,1
NA,2480.284,NA,NA,2480.284,1
NA,2679.5344,NA,NA,2679.5344,1
NA,NA,1457.7059,1457.6046,1457.65525,2
NA,NA,548.2827,NA,548.2827,1
NA,NA,618.3093,NA,618.3093,1
NA,NA,660.3562,NA,660.3562,1
NA,NA,702.3933,NA,702.3933,1
NA,NA,712.3988,NA,712.3988,1
NA,NA,726.4508,NA,726.4508,1
NA,NA,768.3774,NA,768.3774,1
NA,NA,835.4923,NA,835.4923,1
NA,NA,1192.7048,NA,1192.7048,1
NA,NA,1315.7256,NA,1315.7256,1
NA,NA,1459.7097,NA,1459.7097,1
NA,NA,1930.9069,NA,1930.9069,1
NA,NA,2382.1459,NA,2382.1459,1
NA,NA,NA,801.4034,801.4034,1
NA,NA,NA,808.4149,808.4149,1
NA,NA,NA,811.4077,811.4077,1
NA,NA,NA,825.1869,825.1869,1
NA,NA,NA,857.389,857.389,1
NA,NA,NA,1046.5751,1046.5751,1
NA,NA,NA,1060.5575,1060.5575,1
NA,NA,NA,1082.589,1082.589,1
NA,NA,NA,1201.6319,1201.6319,1
NA,NA,NA,1212.5792,1212.5792,1
NA,NA,NA,1259.6563,1259.6563,1
NA,NA,NA,1303.5917,1303.5917,1
NA,NA,NA,1319.6669,1319.6669,1
NA,NA,NA,1336.6053,1336.6053,1
NA,NA,NA,1370.6349,1370.6349,1
NA,NA,NA,1492.7176,1492.7176,1
NA,NA,NA,1502.6569,1502.6569,1
NA,NA,NA,1526.6489,1526.6489,1
NA,NA,NA,1608.6456,1608.6456,1
NA,NA,NA,1797.7441,1797.7441,1
NA,NA,NA,1814.8357,1814.8357,1
NA,NA,NA,1831.8799,1831.8799,1
NA,NA,NA,1948.7664,1948.7664,1
NA,NA,NA,1960.7528,1960.7528,1
NA,NA,NA,1976.7656,1976.7656,1
NA,NA,NA,2023.1163,2023.1163,1
NA,NA,NA,2025.9529,2025.9529,1
NA,NA,NA,2027.0081,2027.0081,1
NA,NA,NA,2041.8131,2041.8131,1
NA,NA,NA,2043.0069,2043.0069,1
NA,NA,NA,2045.1069,2045.1069,1
NA,NA,NA,2049.0988,2049.0988,1
NA,NA,NA,2104.955,2104.955,1
NA,NA,NA,2116.9703,2116.9703,1
NA,NA,NA,2132.9137,2132.9137,1
NA,NA,NA,2298.3551,2298.3551,1
NA,NA,NA,2314.1695,2314.1695,1
NA,NA,NA,2337.3132,2337.3132,1
NA,NA,NA,2341.2098,2341.2098,1
NA,NA,NA,2343.1249,2343.1249,1
NA,NA,NA,2405.1544,2405.1544,1
NA,NA,NA,2416.2544,2416.2544,1
NA,NA,NA,2433.2193,2433.2193,1
NA,NA,NA,2464.7273,2464.7273,1
NA,NA,NA,2559.4623,2559.4623,1
NA,NA,NA,2811.7234,2811.7234,1
NA,NA,NA,2839.7859,2839.7859,1
